@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R62-66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute '416 Grade' numeric

@data
0.916725,0.833333,1,0,0,0.939933,0.757576,1,0,0,1,1,1,0,0,1,1,0,0,0,0.87,0,0,0.086667,0.184167,0.95,0.91,1,0.969697,0.958763,0.99,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.933733,0.842488,0.739566,0.616822,0.711275,t,f,f,f,1
0.369489,0,0.366667,0.375,0.555556,0.07119,0,0,0.782222,1,0.35,0,1,0.63,0.63,0.209664,0,0,0.792,0.8525,0.393333,0,0,0.541667,0.541667,0.05,0,0.14,0.292929,0,0.77,t,f,f,t,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,0.149385,0.345956,0.348915,0,0.525725,t,f,f,f,0.1675
0.904829,0.8125,0.9,0,0,0.952169,0.888889,1,0,0,0.92,0.5,1,0,0.13,0.986134,0.85,0,0,0,1,1,0,0,0,1,0.99,1,0.969697,0.969072,0.99,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.957867,0.770265,0.769616,0.641495,0.773125,t,f,f,f,1
0.655003,0.6875,0.366667,0,0.777778,0.609566,0.20202,1,0,0.670732,0.33,0,1,0.5,0.75,0.556302,0,0,0.117333,0.5225,0.815833,0,0,0.086667,0.184167,0.47,0.24,0.59,0.878788,0.845361,0.89,f,f,t,t,f,t,f,f,t,f,f,f,f,f,f,t,f,f,f,0.632061,0.83346,0.619365,0.666168,0.548919,t,f,f,f,0
0.904829,0.875,1,0,0,0.866518,0,1,0.11,0.109756,0.58,0,1,0.38,0.5,0.986134,0.91,0,0,0,0.9675,0.83,0,0,0,0.94,0.85,0.99,0.888889,0.814433,0.97,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.9096,0.788321,0.959933,0.59215,0.734469,t,f,f,f,0.75
0.881036,0.75,1,0,0,0.523916,0,0.705882,0.33,0.439024,0.47,0,1,0.5,0.5,0.681092,0,0,0.22,0.31625,0.718333,0,0,0.270833,0.270833,0.88,0.8,0.98,0.919192,0.876289,0.95,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.656195,0.779293,0.84975,0.999252,0.920019,t,f,f,f,0.6675
0.762071,0.520833,0.9,0,0.111111,0.756396,0,1,0.11,0.109756,0.61,0,1,0.25,0.5,0.861345,0.42,0,0,0.20625,0.729167,0,0,0.270833,0.270833,0.84,0.71,0.95,0.747475,0.701031,0.78,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.776864,0.743182,0.869783,0.616822,0.904556,t,f,f,f,0.1675
0.631211,0.427083,1,0,0.555556,0.303671,0,1,0.22,0.890244,0.36,0,1,0.5,0.63,0.528571,0,0,0.337333,0.5225,0.545,0,0,0.455,0.455,0.41,0.21,0.57,0.666667,0.505155,0.76,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.414857,0.824432,0.378965,0.024673,0.386562,t,f,f,f,0
0.857243,0.75,1,0,0,0.903226,0.808081,1,0,0,0.83,0,1,0.13,0.25,0.916807,0.67,0,0,0.20625,0.805,0,0,0.184167,0.184167,0.98,0.93,1,0.828283,0.773196,0.92,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.885466,0.770265,0.779633,0.629159,0.533456,t,f,f,f,1
0.773968,0.583333,0.666667,0,0.111111,0.695217,0,0.882353,0.22,0.219512,0.57,0,1,0.25,0.5,0.930672,0.75,0,0,0,0.989167,0.86,0,0,0,0.88,0.78,0.98,0.919192,0.917526,0.93,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.776864,0.860544,0.409015,0.604486,0.757662,t,f,f,f,0.9175
0.524143,0.447917,0.1,0,0.888889,0.474972,0,0.823529,0.22,0.670732,0.81,0.25,1,0,0.25,0.736555,0,0,0.117333,0.20625,0.9675,0.83,0,0,0,0.44,0.19,0.6,0.878788,0.876289,0.89,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.619994,0.815405,0.869783,0.493458,0.726737,t,f,f,f,0.5825
0.892932,0.708333,1,0,0.111111,0.927697,0.717172,1,0,0,0.96,0.75,1,0,0,1,1,0,0,0,0.989167,0.86,0,0,0,0.98,0.95,1,0.949495,0.927835,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.9458,0.887627,0.809683,0.616822,0.788587,t,f,f,f,0.9175
0.428971,0.229167,0,0,1,0.499444,0,0.882353,0.22,0.54878,0.49,0,1,0.38,0.63,0.694958,0,0,0.22,0.31625,0.913333,0.67,0,0,0.086667,0.43,0.22,0.56,0.505051,0.484536,0.54,f,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.535526,0.779293,0.679466,0.456449,0.780856,t,f,f,f,0
0.678796,0.552083,0.7,0,0.333333,0.866518,0.616162,1,0,0.219512,0.89,0.61,1,0,0.13,0.930672,0.75,0,0,0,0.534167,0,0,0.3575,0.541667,0.88,0.76,0.98,0.89899,0.835052,0.93,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.800997,0.950823,0.659432,0.55514,0.255131,t,f,f,f,0.25
0.83345,0.71875,1,0,0.111111,0.952169,0.848485,1,0,0,0.88,0.5,1,0,0.25,1,1,0,0,0,0.815833,0,0,0.184167,0.184167,0.86,0.8,0.97,0.929293,0.907216,0.95,f,f,t,f,t,t,f,f,f,f,t,f,f,t,f,f,f,f,f,0.9096,0.75221,0.769616,0.616822,0.780856,t,f,f,f,0.9175
0.643107,0.552083,0.566667,0,0.444444,0.793103,0.494949,1,0,0.329268,0.43,0,1,0.5,0.63,0.87521,0,0,0.117333,0.11,0.913333,0,0,0.086667,0.086667,0.66,0.42,0.8,0.818182,0.804124,0.86,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.764797,0.689015,0.759599,0.407103,0.641694,t,f,f,f,0.8325
