@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R61-66-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Took 416' {YES,NO}

@data
0.93,0.833333,0.969697,0,0,0.950864,0.757576,1,0,0,0.133333,1,0.067568,0,0,1,1,0.857143,0,0,0.88,0,1,0.08,0.17,0.95,0.91,1,0.969697,0.958763,0.99,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.944803,0.738761,0.730159,0.733511,0.585454,t,f,f,f,YES
0.82,0.71875,0.882424,0,0.1,0.950864,0.868687,1,0,0,0.129333,0.75,0.067568,0,0,0.97,0.65,0.857143,0,0.08,0.96,0.71,1,0,0,0.54,0.42,0.65,0.838384,0.835052,0.86,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.894548,0.770426,0.746032,0.77641,0.693636,t,f,f,f,NO
0.57,0.385417,0.843636,0,0.8,0.540491,0,0.93,0.18,0.45,0.074667,0,0.067568,0.25,0.5,0.6,0,0.857143,0.23,0.54,1,1,1,0,0,0.44,0.24,0.6,0.525253,0.42268,0.62,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.572913,0.604183,0.492063,0.587658,0.636363,t,f,f,f,NO
0.47,0,0.785455,0.3,0.5,0.240218,0,0.83,0.64,0.82,0.046667,0,0.067568,0.63,0.63,0.43,0,0.857143,0.54,0.62,0.44,0,1,0.5,0.5,0.05,0,0.14,0.292929,0,0.77,t,f,f,t,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,0.291482,0.303362,0.420635,0.30453,0.432727,t,f,f,f,YES
0.58,0.34375,0.707879,0,0.7,0.3303,0,0.95,0.55,0.73,0.068,0,0.067568,0.25,0.63,0.46,0,0.857143,0.46,0.62,0.82,0,1,0.08,0.25,0.39,0.08,0.69,0.646465,0.608247,0.68,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.432197,0.817924,0.579365,0.5276,0.687273,t,f,f,f,NO
0.78,0.614583,0.882424,0,0.2,0,0,0,1,1,0.057333,0,0.067568,0.5,0.5,0.5,0,0.857143,0.46,0.54,0.58,0,1,0.33,0.42,0.67,0.49,0.88,0.808081,0.804124,0.83,t,f,f,f,t,t,f,f,t,f,f,f,f,t,f,f,f,f,f,0.351788,0.76251,0.777778,0.424645,0.528182,t,f,f,f,NO
0.7,0.552083,0.911515,0,0.7,0.100091,0,0.7,0.82,0.91,0.052,0,0.067568,0.5,0.63,0.51,0,0.857143,0.46,0.54,0.87,0,1,0.08,0.17,0.4,0.35,0.49,0.757576,0.639175,0.83,f,t,f,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0.391993,0.746677,0.738095,0.887945,0.680909,t,f,f,f,NO
0.83,0.802083,0.901818,0,0,0.960873,0.89899,1,0,0,0.109333,0.25,0.067568,0,0.13,1,1,0.857143,0,0,1,1,1,0,0,0.71,0.64,0.76,0.888889,0.845361,0.94,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.924701,0.746677,0.730159,0.733511,0.636363,t,f,f,f,NO
0.92,0.8125,0.940606,0,0,0.960873,0.888889,1,0,0,0.122667,0.5,0.067568,0,0.13,0.99,0.85,0.857143,0,0,1,1,1,0,0,1,0.99,1,0.969697,0.969072,0.99,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.964906,0.67543,0.753968,0.750671,0.636363,t,f,f,f,YES
0.42,0,0.746667,0.3,0.9,0.400364,0,1,0.55,0.55,0.041333,0,0.067568,0.63,0.75,0.43,0,0.857143,0.46,0.54,0.37,0,1,0.58,0.67,0.2,0,0.59,0.272727,0,0.52,t,f,f,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,f,0.331686,0.390441,0.198413,0.261632,0.165455,t,f,f,f,NO
0.74,0.520833,0.911515,0,0.5,0.4404,0,0.97,0.45,0.55,0,0,0,1,1,0.41,0,0.857143,0.54,0.62,0.42,0,1,0.58,0.58,0.38,0.18,0.49,0.767677,0.731959,0.78,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.502555,0.722928,0.761905,0.347428,0.318182,t,f,f,f,NO
0.71,0.6875,0.785455,0,0.7,0.680619,0.20202,1,0,0.55,0.044,0,0.067568,0.5,0.75,0.68,0,0.857143,0.08,0.38,0.83,0,1,0.08,0.17,0.47,0.24,0.59,0.878788,0.845361,0.89,f,f,t,t,f,t,f,f,t,f,f,f,f,f,f,t,f,f,f,0.693526,0.730844,0.634921,0.76783,0.451818,t,f,f,f,YES
0.71,0.552083,0.853333,0,0.5,0.620564,0.20202,1,0,0.55,0.086667,0,0.067568,0.13,0.5,0.64,0,0.857143,0.15,0.46,0.89,0,1,0.08,0.08,0.3,0.2,0.38,0.707071,0.57732,0.77,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.64327,0.699179,0.706349,0.699193,0.502727,t,f,f,f,NO
0.58,0.416667,0.717576,0,0.7,0.490446,0,1,0.09,0.55,0.101333,0,0.067568,0.13,0.25,0.51,0,0.857143,0.15,0.62,0.92,0,1,0.08,0.08,0.29,0.18,0.38,0.555556,0.391753,0.7,f,t,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.522657,0.659597,0.365079,0.639135,0.744545,t,f,f,f,NO
