@relation 'cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R60-63,66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute '520 Grade' numeric

@data
0.864627,0.833333,1,0,0,0.882214,0.757576,1,0,0,1,1,1,0,0,1,1,0,0,0,0.82,0,0,0.12,0.253731,0.916201,0.897727,1,0.935484,0.931034,0.970588,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.865355,0.475349,0.726368,0.483333,0.525,t,f,f,f,1
0.845288,0.8125,0.89,0,0,0.906208,0.888889,1,0,0,0.910112,0.5,1,0,0.13,0.980392,0.85,0,0,0,1,1,0,0,0,1,0.988636,1,0.935484,0.948276,0.970588,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.914392,0.307754,0.763682,0.516667,0.583333,t,f,f,f,1
0.845288,0.875,1,0,0,0.738255,0,1,0.333333,0.195,0.52809,0,1,0.475,0.5,0.980392,0.91,0,0,0,0.955,0.83,0,0,0,0.899441,0.829545,0.977273,0.763441,0.689655,0.911765,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.816319,0.349653,1,0.45,0.546875,t,f,f,f,0.6675
0.80661,0.75,1,0,0,0.066442,0,0,1,0.780001,0.404494,0,1,0.625,0.5,0.54902,0,0,0.326087,0.425926,0.61,0,0,0.375,0.373134,0.798883,0.772727,0.954545,0.827957,0.793103,0.852941,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.301435,0.328704,0.863184,1,0.721875,t,f,f,f,0.1675
0.767932,0.75,1,0,0,0.810235,0.808081,1,0,0,0.808989,0,1,0.1625,0.25,0.882353,0.67,0,0,0.277778,0.73,0,0,0.255,0.253731,0.96648,0.920455,1,0.634409,0.62069,0.764706,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.767282,0.307754,0.776119,0.5,0.357292,t,f,f,f,1
0.632559,0.583333,0.633333,0,0.1125,0.402348,0,0.6,0.666667,0.39,0.516854,0,1,0.3125,0.5,0.901961,0.75,0,0,0,0.985,0.86,0,0,0,0.798883,0.75,0.954545,0.827957,0.862069,0.794118,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.546618,0.517248,0.31592,0.466667,0.56875,t,f,f,f,0.5825
0.41983,0.552083,0.523333,0,0.45,0.594295,0.494949,1,0,0.585001,0.359551,0,1,0.625,0.63,0.823529,0,0,0.173913,0.148148,0.88,0,0,0.12,0.119403,0.430168,0.340909,0.545455,0.612903,0.672414,0.588235,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.5221,0.11921,0.751244,0.2,0.459375,t,f,f,f,0.6675
1,1,1,0,0,0.690268,0,1,0.333333,0.195,0.820225,0,1,0.1625,0.13,0.960784,0.83,0,0,0,0.85,0,0,0.12,0.119403,0.98324,0.954545,1,1,1,1,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.840837,0.475349,0.912935,0.45,0.736458,t,f,f,f,0.8325
0.149084,0,0.56,1,0.5625,0.522315,0,1,0.333333,0.195,0,0,0.175,0.9375,1,0,0,0,1,1,0.1,0,0,0.75,1,0.715084,0.693182,0.818182,0.634409,0.724138,0.529412,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.252399,0.11921,0.863184,0,0.357292,t,f,f,f,0.9175
0.41983,0.447917,0.486666,0,0.45,0.018456,0,0.6,0.333333,0.780001,0.775281,0,1,0.1625,0.25,0.470588,0,0,0.173913,0.574074,0.955,0.83,0,0,0,0.078213,0.136364,0.5,0.419355,0.551724,0.264706,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.203362,0.203007,0.701493,0.583333,0.583333,t,f,f,f,0.1675
0.729254,0.71875,1,0,0.1125,0.690268,0.646465,1,0,0.195,0.382022,0,1,0.625,0.5,0.980392,0.91,0,0,0,0.88,0,0,0.12,0.119403,0.798883,0.647727,1,0.784946,0.793103,0.764706,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.693727,0.517248,0.664179,0.45,0.707291,t,f,f,f,0
0.595053,0,0.898147,0.5,0.1125,0.371812,0,1,0.3367,0.590909,0.438202,0,0.75,0.3125,0.75,0.724451,0,0,0.197628,0.16835,0.666667,0,0,0.333333,0.331675,0.932961,0.909091,1,0.129032,0.137931,0.117647,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.473889,0.840858,0.214345,0.186617,0.546875,f,t,f,f,0.5
