@relation 'cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Remove-R60-61,63,65-66-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute 'CS Major=YES' {f,t}
@attribute 'CS Major=NO' {f,t}
@attribute 'ECE major=NO' {f,t}
@attribute 'ECE major=YES' {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Took 520' {YES,NO}

@data
0.908414,0.833333,1,0,0,0.942341,0.757576,1,0,0,1,1,1,0,0,1,1,0,0,0,0.82,0,0,0.12,0.253731,0.95,0.91,1,0.969697,0.958763,0.99,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.931528,0.730188,0.728412,0.621137,0.760331,t,f,f,f,YES
0.764493,0.71875,0.666667,0,0.1125,0.942341,0.868687,1,0,0,0.966292,0.75,1,0,0,0.959195,0.65,0,0,0.105263,0.94,0.71,0,0,0,0.54,0.42,0.65,0.838384,0.835052,0.86,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.869185,0.792045,0.749304,0.682125,0.900826,t,f,f,f,NO
0.89533,0.875,1,0,0,0.871869,0,1,0.106364,0.106364,0.52809,0,1,0.475,0.5,0.986398,0.91,0,0,0,0.955,0.83,0,0,0,0.94,0.85,0.99,0.888889,0.814433,0.97,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.90659,0.637401,0.958217,0.596742,0.785124,t,f,f,f,YES
0.869163,0.75,1,0,0,0.542998,0,0,0.319091,0.425454,0.404494,0,1,0.625,0.5,0.68716,0,0,0.220588,0.302632,0.61,0,0,0.375,0.373134,0.88,0.8,0.98,0.919192,0.876289,0.95,t,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,0.64475,0.621937,0.843315,0.999261,0.983471,t,f,f,f,YES
0.738326,0.520833,0.888889,0,0.1125,0.76616,0,1,0.106364,0.106364,0.561798,0,1,0.3125,0.5,0.863983,0.42,0,0,0.197368,0.625,0,0,0.375,0.373134,0.84,0.71,0.95,0.747475,0.701031,0.78,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.769436,0.560079,0.864206,0.621137,0.966942,t,f,f,f,NO
0.842996,0.75,1,0,0,0.907105,0.808081,1,0,0,0.808989,0,1,0.1625,0.25,0.91839,0.67,0,0,0.197368,0.73,0,0,0.255,0.253731,0.98,0.93,1,0.828283,0.773196,0.92,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.881653,0.606472,0.770195,0.633334,0.570248,t,f,f,f,YES
0.75141,0.583333,0.62963,0,0.1125,0.707433,0,0.6,0.212727,0.212727,0.516854,0,1,0.3125,0.5,0.931991,0.75,0,0,0,0.985,0.86,0,0,0,0.88,0.78,0.98,0.919192,0.917526,0.93,t,f,f,t,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.769436,0.761117,0.383705,0.608939,0.809917,t,f,f,f,YES
0.476652,0.447917,0,0,0.9,0.496017,0,0.4,0.212727,0.65,0.786517,0.25,1,0,0.25,0.741567,0,0,0.117647,0.197368,0.955,0.83,0,0,0,0.44,0.19,0.6,0.878788,0.876289,0.89,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.607344,0.683795,0.864206,0.499161,0.77686,t,f,f,f,NO
0.882247,0.708333,1,0,0.1125,0.930595,0.717172,1,0,0,0.955056,0.75,1,0,0,1,1,0,0,0,0.985,0.86,0,0,0,0.98,0.95,1,0.949495,0.927835,0.98,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,0.943996,0.80751,0.801532,0.621137,0.842975,t,f,f,f,NO
0.607489,0.552083,0.518519,0,0.45,0.801396,0.494949,1,0,0.319091,0.359551,0,1,0.625,0.63,0.877584,0,0,0.117647,0.105263,0.88,0,0,0.12,0.119403,0.66,0.42,0.8,0.818182,0.804124,0.86,t,f,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,0.756967,0.467293,0.749304,0.413779,0.68595,t,f,f,f,YES
