@relation cs415all-redo-complete-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-N-R32-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R35-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R37-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R39-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R44-weka.filters.unsupervised.attribute.NominalToBinary-N-A-R56-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R60-65-weka.filters.unsupervised.attribute.Remove-R35-38

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Gender=MALE {f,t}
@attribute Gender=FEMALE {f,t}
@attribute Gender=UNKNOWN {f,t}
@attribute Standing=FR {f,t}
@attribute Standing=SO {f,t}
@attribute Standing=GR {f,t}
@attribute Standing=SR {f,t}
@attribute Standing=JR {f,t}
@attribute 'Math Class=MATH 425' {f,t}
@attribute 'Math Class=UNKNOWN' {f,t}
@attribute 'Math Class=MATH 418' {f,t}
@attribute 'Math Class=MATH 531' {f,t}
@attribute 'Math Class=MATH 426' {f,t}
@attribute 'Math Class=NONE' {f,t}
@attribute 'Math Class=MATH 302' {f,t}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester=SEMESTER2007 {f,t}
@attribute Semester=SEMESTER2008 {f,t}
@attribute Semester=SEMESTER2009 {f,t}
@attribute Semester=2010.0 {f,t}
@attribute 'Graduated with CS Degree' {YES,NO,NA}

@data
0.93,0.833333,0.969697,0,0,0.950864,0.757576,1,0,0,0.133333,1,0.067568,0,0,1,1,0.857143,0,0,0.88,0,1,0.08,0.17,0.95,0.91,1,0.969697,0.958763,0.99,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.944803,0.738761,0.730159,0.733511,0.585454,t,f,f,f,YES
0.57,0.385417,0.843636,0,0.8,0.540491,0,0.93,0.18,0.45,0.074667,0,0.067568,0.25,0.5,0.6,0,0.857143,0.23,0.54,1,1,1,0,0,0.44,0.24,0.6,0.525253,0.42268,0.62,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.572913,0.604183,0.492063,0.587658,0.636363,t,f,f,f,NO
0.47,0,0.785455,0.3,0.5,0.240218,0,0.83,0.64,0.82,0.046667,0,0.067568,0.63,0.63,0.43,0,0.857143,0.54,0.62,0.44,0,1,0.5,0.5,0.05,0,0.14,0.292929,0,0.77,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,0.291482,0.303362,0.420635,0.30453,0.432727,t,f,f,f,NO
0.74,0.520833,0.911515,0,0.5,0.4404,0,0.97,0.45,0.55,0,0,0,1,1,0.41,0,0.857143,0.54,0.62,0.42,0,1,0.58,0.58,0.38,0.18,0.49,0.767677,0.731959,0.78,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.502555,0.722928,0.761905,0.347428,0.318182,t,f,f,f,NO
0.71,0.6875,0.785455,0,0.7,0.680619,0.20202,1,0,0.55,0.044,0,0.067568,0.5,0.75,0.68,0,0.857143,0.08,0.38,0.83,0,1,0.08,0.17,0.47,0.24,0.59,0.878788,0.845361,0.89,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,0.693526,0.730844,0.634921,0.76783,0.451818,t,f,f,f,NO
0.71,0.552083,0.853333,0,0.5,0.620564,0.20202,1,0,0.55,0.086667,0,0.067568,0.13,0.5,0.64,0,0.857143,0.15,0.46,0.89,0,1,0.08,0.08,0.3,0.2,0.38,0.707071,0.57732,0.77,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,0.64327,0.699179,0.706349,0.699193,0.502727,t,f,f,f,NO
0.58,0.416667,0.717576,0,0.7,0.490446,0,1,0.09,0.55,0.101333,0,0.067568,0.13,0.25,0.51,0,0.857143,0.15,0.62,0.92,0,1,0.08,0.08,0.29,0.18,0.38,0.555556,0.391753,0.7,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,0.522657,0.659597,0.365079,0.639135,0.744545,t,f,f,f,NO
0.92,0.875,0.969697,0,0,0.89081,0,1,0.09,0.09,0.077333,0,0.067568,0.38,0.5,0.99,0.91,0.857143,0,0,0.97,0.83,1,0,0,0.94,0.85,0.99,0.888889,0.814433,0.97,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,0.924701,0.691262,0.904762,0.716352,0.604545,t,f,f,f,YES
0.37,0,0.727273,0.4,0.7,0.500455,0,1,0.45,0.55,0,0,0,1,1,0.21,0,0.857143,0.77,0.77,0.17,0,1,0.83,0.83,0.3,0,0.51,0.656566,0.494845,0.83,t,f,f,f,f,t,f,f,f,t,f,f,f,f,f,0.422146,1,0.595238,0.862206,0.636363,t,f,f,f,NO
0.9,0.75,0.969697,0,0,0.610555,0,0.95,0.27,0.36,0.062667,0,0.067568,0.5,0.5,0.77,0,0.857143,0.15,0.23,0.74,0,1,0.25,0.25,0.88,0.8,0.98,0.919192,0.876289,0.95,t,f,f,t,f,f,f,f,f,f,f,f,t,f,f,0.713628,0.683346,0.81746,0.99948,0.757273,t,f,f,f,NO
