"Code","Q Avg","Q Min","Q Max","Q % Zeros","Q % below 70%","P Avg","P Min","P Max","P % Zeros","P % below 70%","PRE Avg","PRE Min","PRE Max","PRE % Zeros","PRE % below 70%","L Avg","L Min","L Max","L % Zeros","L % below 70%","R Avg","R Min","R Max","R % Zeros","R % below 70%","OLE Avg","OLE Min","OLE Max","Exam Avg","Exam Min","Exam Max","Gender","CS Major","ECE major","Standing","Math Class","415 Final Grade","Q Diff","P Diff","L Diff","R Diff","Semester","Took 416","416 Grade","Took 515","515 Grade","Took 520","520 Grade","Graduated with CS Degree"
389,0.93,0.8,1,0,0,0.95,0.75,1,0,0,1,1,1,0,0,1,1,1,0,0,0.88,0,1,0.08,0.17,0.95,0.91,1,0.96,0.93,0.99,"MALE","YES","NO","FR","MATH 425",0.94,0.01,-0.06,0,-0.08,"SEMESTER2007","YES",4,"YES",4,"YES",4,"YES"
35,0.82,0.69,0.91,0,0.1,0.95,0.86,1,0,0,0.97,0.75,1,0,0,0.97,0.65,1,0,0.08,0.96,0.71,1,0,0,0.54,0.42,0.65,0.83,0.81,0.86,"MALE","NO","YES","FR","UNKNOWN",0.89,0.05,-0.04,0.05,0.09,"SEMESTER2007","NO",-1,"YES",3.67,"NO",-1,"NO"
107,0.57,0.37,0.87,0,0.8,0.54,0,0.93,0.18,0.45,0.56,0,1,0.25,0.5,0.6,0,1,0.23,0.54,1,1,1,0,0,0.44,0.24,0.6,0.52,0.41,0.62,"MALE","YES","NO","FR","MATH 418",0.57,-0.16,-0.36,-0.17,0,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
205,0.47,0,0.81,0.3,0.5,0.24,0,0.83,0.64,0.82,0.35,0,1,0.63,0.63,0.43,0,1,0.54,0.62,0.44,0,1,0.5,0.5,0.05,0,0.14,0.29,0,0.77,"MALE","YES","NO","SO","MATH 425",0.29,-0.54,-0.45,-0.5,-0.32,"SEMESTER2007","YES",0.67,"NO",-1,"NO",-1,"NO"
28,0.58,0.33,0.73,0,0.7,0.33,0,0.95,0.55,0.73,0.51,0,1,0.25,0.63,0.46,0,1,0.46,0.62,0.82,0,1,0.08,0.25,0.39,0.08,0.69,0.64,0.59,0.68,"MALE","NO","YES","FR","UNKNOWN",0.43,0.11,-0.25,-0.24,0.08,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
365,0.78,0.59,0.91,0,0.2,0,0,0,1,1,0.43,0,1,0.5,0.5,0.5,0,1,0.46,0.54,0.58,0,1,0.33,0.42,0.67,0.49,0.88,0.8,0.78,0.83,"MALE","NO","NO","SO","UNKNOWN",0.35,0.04,0,-0.36,-0.17,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
234,0.7,0.53,0.94,0,0.7,0.1,0,0.7,0.82,0.91,0.39,0,1,0.5,0.63,0.51,0,1,0.46,0.54,0.87,0,1,0.08,0.17,0.4,0.35,0.49,0.75,0.62,0.83,"FEMALE","NO","NO","FR","UNKNOWN",0.39,0.02,-0.05,0.18,0.07,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
253,0.83,0.77,0.93,0,0,0.96,0.89,1,0,0,0.82,0.25,1,0,0.13,1,1,1,0,0,1,1,1,0,0,0.71,0.64,0.76,0.88,0.82,0.94,"MALE","NO","YES","FR","UNKNOWN",0.92,0.02,-0.06,0,0,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
312,0.92,0.78,0.97,0,0,0.96,0.88,1,0,0,0.92,0.5,1,0,0.13,0.99,0.85,1,0,0,1,1,1,0,0,1,0.99,1,0.96,0.94,0.99,"MALE","NO","YES","FR","UNKNOWN",0.96,-0.07,-0.03,0.02,0,"SEMESTER2007","YES",4,"NO",-1,"YES",4,"YES"
351,0.42,0,0.77,0.3,0.9,0.4,0,1,0.55,0.55,0.31,0,1,0.63,0.75,0.43,0,1,0.46,0.54,0.37,0,1,0.58,0.67,0.2,0,0.59,0.27,0,0.52,"MALE","NO","NO","FR","UNKNOWN",0.33,-0.43,-0.73,-0.55,-0.74,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
