@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R45-48,50-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,44-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R2-4,6,8-24,26-30,32,34,36-37,39-43'

@attribute 'Q Avg' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Min' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'Exam Max' numeric
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'ECE major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute '415 Final Grade' numeric
@attribute '416 Grade' numeric

@data
0.93,0,0.75,0.17,0.99,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.94,4
0.47,0.5,0,0.5,0.77,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.29,0.67
0.92,0,0.88,0,0.99,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.96,4
0.71,0.7,0.2,0.17,0.89,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.69,0
0.92,0,0,0,0.97,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.92,3
0.9,0,0,0.25,0.95,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.71,2.67
0.8,0.1,0,0.25,0.78,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.81,0.67
0.69,0.5,0,0.42,0.76,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.51,0
0.88,0,0.8,0.17,0.92,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.9,4
0.81,0.1,0,0,0.93,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.81,3.67
0.6,0.8,0,0,0.89,'\'(-inf-0.5]\'','\'(-inf-0.5]\'',0.68,2.33
0.91,0.1,0.71,0,0.98,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.95,3.67
0.52,0.9,0,0.08,0.54,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.61,0
0.73,0.3,0.61,0.5,0.93,'\'(-inf-0.5]\'','\'(0.5-inf)\'',0.83,1
