@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R45-49,51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,44-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8,10-25,29,31-32,34-36,41-43'

@attribute 'Q Max' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P \% Zeros' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Min' numeric
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'Took 416_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
1,0,0.95,0,0.95,0.91,1,0.93,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.94,0.01,-0.06,'\'(0.5-inf)\''
0.91,0.1,0.95,0,0.54,0.42,0.65,0.81,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.89,0.05,-0.04,'\'(-inf-0.5]\''
0.87,0.8,0.54,0.18,0.44,0.24,0.6,0.41,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.57,-0.16,-0.36,'\'(-inf-0.5]\''
0.81,0.5,0.24,0.64,0.05,0,0.14,0,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.29,-0.54,-0.45,'\'(0.5-inf)\''
0.73,0.7,0.33,0.55,0.39,0.08,0.69,0.59,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.43,0.11,-0.25,'\'(-inf-0.5]\''
0.91,0.2,0,1,0.67,0.49,0.88,0.78,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.35,0.04,0,'\'(-inf-0.5]\''
0.94,0.7,0.1,0.82,0.4,0.35,0.49,0.62,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.39,0.02,-0.05,'\'(-inf-0.5]\''
0.93,0,0.96,0,0.71,0.64,0.76,0.82,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.92,0.02,-0.06,'\'(-inf-0.5]\''
0.97,0,0.96,0,1,0.99,1,0.94,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.96,-0.07,-0.03,'\'(0.5-inf)\''
0.77,0.9,0.4,0.55,0.2,0,0.59,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.33,-0.43,-0.73,'\'(-inf-0.5]\''
0.94,0.5,0.44,0.45,0.38,0.18,0.49,0.71,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.5,-0.01,-0.02,'\'(-inf-0.5]\''
0.81,0.7,0.68,0,0.47,0.24,0.59,0.82,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.69,0,-0.18,'\'(0.5-inf)\''
0.88,0.5,0.62,0,0.3,0.2,0.38,0.56,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.64,-0.04,-0.09,'\'(-inf-0.5]\''
0.74,0.7,0.49,0.09,0.29,0.18,0.38,0.38,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.52,-0.09,-0.52,'\'(-inf-0.5]\''
1,0,0.89,0.09,0.94,0.85,0.99,0.79,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.92,-0.05,0.16,'\'(0.5-inf)\''
0.75,0.7,0.5,0.45,0.3,0,0.51,0.48,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.42,0.34,-0.23,'\'(-inf-0.5]\''
1,0,0.61,0.27,0.88,0.8,0.98,0.85,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.71,-0.06,0.05,'\'(0.5-inf)\''
0.97,0.1,0.8,0.09,0.84,0.71,0.95,0.68,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.81,-0.1,0.07,'\'(0.5-inf)\''
1,0.5,0.43,0.18,0.41,0.21,0.57,0.49,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.51,-0.01,-0.42,'\'(0.5-inf)\''
1,0,0.92,0,0.98,0.93,1,0.75,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.9,-0.07,-0.02,'\'(0.5-inf)\''
0.87,0.6,0.18,0.82,0.07,0,0.21,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.26,-0.4,-0.33,'\'(-inf-0.5]\''
0.87,0.8,0.41,0.36,0.23,0.08,0.45,0.57,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.48,-0.17,-0.62,'\'(-inf-0.5]\''
0.9,0.1,0.75,0.18,0.88,0.78,0.98,0.89,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.81,0.03,-0.39,'\'(0.5-inf)\''
0.73,0.8,0.57,0.18,0.44,0.19,0.6,0.85,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.68,-0.02,0.07,'\'(0.5-inf)\''
0.9,0.7,0.73,0.09,0.45,0.27,0.58,0.72,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.68,-0.11,-0.15,'\'(-inf-0.5]\''
0.56,1,0.07,0.91,0.08,0,0.25,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.15,-0.34,-0.13,'\'(-inf-0.5]\''
0.77,0.6,0.67,0.09,0.39,0.14,0.65,0.67,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.7,0,-0.15,'\'(-inf-0.5]\''
1,0.1,0.94,0,0.98,0.95,1,0.9,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.95,0.06,0.01,'\'(0.5-inf)\''
0.78,0.7,0.63,0,0.45,0.24,0.58,0.49,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.65,-0.15,-0.06,'\'(-inf-0.5]\''
0.7,0.9,0.59,0.18,0.43,0.22,0.56,0.47,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.61,-0.06,-0.12,'\'(0.5-inf)\''
0.91,0.3,0.89,0,0.88,0.76,0.98,0.81,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.83,0.13,-0.14,'\'(0.5-inf)\''
0,1,0,1,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0,0,0,'\'(-inf-0.5]\''
0.91,0.5,0.79,0.09,0.57,0.54,0.59,0.75,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.74,-0.06,-0.24,'\'(-inf-0.5]\''
0.81,0.8,0.38,0.27,0.39,0.18,0.6,0.51,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.5,-0.07,-0.61,'\'(-inf-0.5]\''
1,0.1,0.96,0,0.86,0.8,0.97,0.88,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.92,-0.09,-0.03,'\'(0.5-inf)\''
0.87,0.4,0.83,0,0.66,0.42,0.8,0.78,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.8,-0.16,-0.04,'\'(0.5-inf)\''
0.97,0.1,0.98,0,0.76,0.68,0.81,0.87,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.93,0.07,0.03,'\'(0.5-inf)\''
1,0,0.94,0,0.95,0.86,1,0.9,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.95,-0.07,-0.03,'\'(0.5-inf)\''
0.94,0.2,0.68,0.18,0.74,0.64,0.86,0.8,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.76,0.06,0.2,'\'(0.5-inf)\''
1,0.5,0.75,0.18,0.68,0.58,0.79,0.59,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.79,-0.01,0.28,'\'(-inf-0.5]\''
1,0,0.87,0.09,0.99,0.96,1,0.97,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.93,0.01,0.09,'\'(0.5-inf)\''
0.94,0.3,0.89,0,0.34,0.23,0.47,0.83,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.83,-0.05,0.02,'\'(-inf-0.5]\''
0.94,0.1,0.96,0,0.59,0.51,0.64,0.84,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.92,-0.09,0.01,'\'(0.5-inf)\''
0.67,1,0,1,0.25,0.1,0.54,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.14,-0.28,0,'\'(-inf-0.5]\''
0.88,0.5,0.8,0.09,0.83,0.73,0.92,0.81,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.69,-0.16,0.05,'\'(0.5-inf)\''
0.72,0.9,0.51,0.09,0.36,0.18,0.47,0.37,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.51,0.02,-0.2,'\'(-inf-0.5]\''
1,0.2,0.77,0.09,0.25,0.14,0.36,0.81,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.76,-0.04,0.14,'\'(0.5-inf)\''
0.9,0.4,0.36,0.55,0.3,0.06,0.58,0.81,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.51,-0.05,-0.66,'\'(-inf-0.5]\''
0.84,0.2,0.85,0,0.39,0.27,0.46,0.86,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.83,-0.02,-0.08,'\'(-inf-0.5]\''
0.94,0,0.93,0,0.8,0.67,0.88,0.82,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.89,-0.03,-0.09,'\'(-inf-0.5]\''
0.86,0.4,0.59,0.09,0.45,0.24,0.78,0.71,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.67,-0.12,-0.08,'\'(0.5-inf)\''
0.87,0.8,0.85,0,0.61,0.49,0.77,0.74,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.8,-0.13,-0.15,'\'(-inf-0.5]\''
0.77,0.9,0.57,0.27,0.35,0.12,0.51,0.6,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.58,-0.11,-0.13,'\'(-inf-0.5]\''
0.94,0.2,0.92,0,0.95,0.93,0.98,0.83,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.91,0.09,-0.06,'\'(-inf-0.5]\''
0.94,0,0.86,0,0.99,0.98,1,0.87,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.88,0.06,-0.04,'\'(0.5-inf)\''
0.91,0.2,0.76,0,0.46,0.46,0.47,0.76,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.75,-0.05,0.09,'\'(0.5-inf)\''
0.88,0.7,0.86,0,0.34,0.13,0.57,0.59,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.71,-0.12,0,'\'(0.5-inf)\''
0.88,0.7,0.67,0.09,0.33,0.1,0.56,0.65,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.63,0.13,0.16,'\'(-inf-0.5]\''
0.75,0.8,0.41,0.45,0.2,0,0.49,0,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.4,-0.24,-0.75,'\'(-inf-0.5]\''
1,0,0.92,0,0.94,0.84,1,0.73,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.89,-0.09,-0.05,'\'(0.5-inf)\''
1,0,0.97,0,1,0.99,1,0.97,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.96,0.1,-0.01,'\'(0.5-inf)\''
1,0.1,0.87,0,0.88,0.69,1,0.85,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.87,0.03,-0.11,'\'(0.5-inf)\''
1,0.1,0.99,0,1,0.99,1,0.97,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.98,-0.08,-0.01,'\'(0.5-inf)\''
0.916667,0.3,0.267273,0.727273,0.73,0.51,0.95,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.413056,-0.078032,-0.49,'\'(0.5-inf)\''
0.9375,0.3,0.974545,0,0.98,0.96,1,0.52,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.915472,0.106042,-0.015667,'\'(-inf-0.5]\''
0.966667,0.2,0.609091,0.363636,0.49,0,0.98,0,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.620685,-0.320835,-0.757333,'\'(0.5-inf)\''
0.84375,0.3,0.831818,0,0.545,0.32,0.77,0.46,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.796457,-0.049137,-0.190333,'\'(-inf-0.5]\''
0.875,0.5,0.632727,0.181818,0.535,0.44,0.63,0.31,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.663764,-0.01969,-0.569667,'\'(0.5-inf)\''
0.794118,0.8,0.690909,0.090909,0.405,0.35,0.46,0.41,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.688975,-0.006211,-0.405,'\'(-inf-0.5]\''
0.970588,0.3,0.585455,0.181818,0.96,0.92,1,0,'\'(0.5-inf)\'','\'(3.428571-4.285714]\'',0.654847,0.151985,-0.717667,'\'(-inf-0.5]\''
0.972222,0.1,0.737273,0.090909,0.96,0.92,1,0.47,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.780337,0.184473,-0.471667,'\'(0.5-inf)\''
0.941176,0.1,0.598182,0.181818,0.965,0.95,0.98,0.49,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.716172,0.048541,-0.458667,'\'(0.5-inf)\''
0.896552,0.9,0.531818,0.363636,0.475,0,0.95,0,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.502186,-0.298158,-0.817333,'\'(-inf-0.5]\''
0.8,0.8,0.181818,0.818182,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.166203,-0.318824,-0.333333,'\'(0.5-inf)\''
0.764706,0.8,0.916364,0,0.695,0.47,0.92,0.4,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.841155,-0.095374,-0.03,'\'(0.5-inf)\''
0.896552,0.4,0.353636,0.454545,0.405,0.4,0.41,0.47,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.487374,-0.270127,-0.564,'\'(-inf-0.5]\''
0.875,0.6,0.344545,0.545455,0.365,0,0.73,0,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.345089,-0.616176,-0.631667,'\'(-inf-0.5]\''
1,0,0.931818,0,0.85,0.81,0.89,0.58,'\'(-inf-0.5]\'','\'(3.428571-4.285714]\'',0.919781,-0.002318,-0.069333,'\'(0.5-inf)\''
1.03125,0,0.862727,0,1,1,1,0.58,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.901738,-0.094869,-0.074667,'\'(-inf-0.5]\''
1,0.8,0.430909,0.363636,0.435,0.26,0.61,0.35,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.541179,-0.128717,-0.735,'\'(-inf-0.5]\''
0.970588,0.2,0.888182,0,0.965,0.95,0.98,0.57,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.897874,0.02707,-0.059,'\'(0.5-inf)\''
0.666667,1,0.586364,0.090909,0.1,0,0.2,0.2,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.553457,-0.318371,-0.671667,'\'(-inf-0.5]\''
0.586207,1,0.473636,0.363636,0.185,0.02,0.35,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.481256,-0.252201,-0.795,'\'(-inf-0.5]\''
0.764706,0.6,0.697273,0.090909,0.325,0.15,0.5,0.39,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.695992,-0.121764,-0.468,'\'(0.5-inf)\''
0.911765,0.5,0.9,0,0.475,0.43,0.52,0.48,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.826689,-0.076993,-0.102667,'\'(0.5-inf)\''
0.970588,0.2,0.809091,0,0.45,0.42,0.48,0.53,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.806768,-0.168797,-0.335667,'\'(-inf-0.5]\''
0.676471,1,0.787273,0,0.45,0.44,0.46,0.29,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.721911,-0.165829,-0.094,'\'(-inf-0.5]\''
1,0,0.966364,0,1,1,1,0.56,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.959924,-0.015048,-0.015333,'\'(-inf-0.5]\''
0.823529,0.6,0.688182,0.090909,0.45,0.05,0.85,0.36,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.695716,-0.12614,-0.488,'\'(-inf-0.5]\''
0.941176,0,0.9,0,0.875,0.75,1,0.54,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.877016,0.073567,0.011,'\'(0.5-inf)\''
0.705882,0.9,0.159091,0.818182,0,0,0,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.131511,-0.141176,-0.291667,'\'(-inf-0.5]\''
1,0,0.958182,0,0.99,0.98,1,0.57,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.956568,0.090524,0.007,'\'(0.5-inf)\''
0.617647,1,0.424545,0.363636,0.09,0,0.18,0.08,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.42474,-0.273433,-0.723333,'\'(-inf-0.5]\''
1,0,0.941818,0,1,1,1,0.58,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.917595,0.047441,-0.080333,'\'(0.5-inf)\''
0.972222,0.5,0.743636,0,0.43,0.38,0.48,0.41,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.741976,0.026546,-0.267,'\'(0.5-inf)\''
0.655172,1,0.171818,0.818182,0.09,0,0.18,0,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.221255,-0.562799,-0.315,'\'(-inf-0.5]\''
1,0.1,0.991818,0,1,1,1,0.58,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.967946,-0.216904,0.015,'\'(0.5-inf)\''
0.911765,0.3,0.457273,0.272727,0.96,0.92,1,0.48,'\'(-inf-0.5]\'','\'(2.571429-3.428571]\'',0.633341,-0.074219,-0.596333,'\'(-inf-0.5]\''
0.78125,0.7,0.678182,0.090909,0.485,0.4,0.57,0.36,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.679185,-0.308029,-0.477,'\'(-inf-0.5]\''
0.588235,1,0.38,0.545455,0.215,0,0.43,0,'\'(-inf-0.5]\'','\'(1.714286-2.571429]\'',0.329534,-0.153203,-0.374,'\'(-inf-0.5]\''
0.866667,0.6,0.937273,0,0.875,0.75,1,0.43,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.842344,-0.150376,-0.042667,'\'(0.5-inf)\''
