@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R47-48,50-weka.filters.unsupervised.attribute.Remove-R43-44-weka.filters.unsupervised.attribute.Remove-R44-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,43-weka.filters.unsupervised.attribute.Remove-R2-9,11-12,15-19,21-25,27-31,33-36,39-43'

@attribute 'Q Avg' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Took 515_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
0.93,0,1,0,0,0.95,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.94,'\'(0.5-inf)\''
0.47,0.82,1,0.63,0.62,0.05,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.29,'\'(-inf-0.5]\''
0.92,0,1,0,0,1,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.96,'\'(-inf-0.5]\''
0.71,0.55,1,0.5,0.38,0.47,'\'(-inf-0.5]\'','\'(4.285714-5.142857]\'',0.69,'\'(-inf-0.5]\''
0.92,0.09,1,0.38,0,0.94,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.92,'\'(0.5-inf)\''
0.9,0.36,1,0.5,0.23,0.88,'\'(0.5-inf)\'','\'(3.428571-4.285714]\'',0.71,'\'(0.5-inf)\''
0.8,0.09,1,0.25,0.15,0.84,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.81,'\'(0.5-inf)\''
0.69,0.73,1,0.5,0.38,0.41,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.51,'\'(-inf-0.5]\''
0.88,0,1,0.13,0.15,0.98,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.9,'\'(0.5-inf)\''
0.81,0.18,1,0.25,0,0.88,'\'(0.5-inf)\'','\'(1.714286-2.571429]\'',0.81,'\'(0.5-inf)\''
0.6,0.55,1,0,0.15,0.44,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.68,'\'(0.5-inf)\''
0.91,0,1,0,0,0.98,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.95,'\'(0.5-inf)\''
0.52,0.45,1,0.38,0.23,0.43,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.61,'\'(-inf-0.5]\''
0.73,0.18,1,0,0,0.88,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.83,'\'(-inf-0.5]\''
0.86,0,1,0,0,0.86,'\'(-inf-0.5]\'','\'(-inf-0.857143]\'',0.92,'\'(-inf-0.5]\''
0.7,0.27,1,0.5,0.08,0.66,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.8,'\'(0.5-inf)\''
0.82,0,1,0,0,0.76,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.93,'\'(0.5-inf)\''
0.95,0,1,0,0,0.95,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.95,'\'(0.5-inf)\''
0.81,0.18,1,0,0.23,0.74,'\'(0.5-inf)\'','\'(-inf-0.857143]\'',0.76,'\'(0.5-inf)\''
1,0.09,1,0.13,0,0.99,'\'(0.5-inf)\'','\'(2.571429-3.428571]\'',0.93,'\'(0.5-inf)\''
