@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R43-48-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R1-27,29,32-35,37-42'

@attribute 'OLE Max' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Standing {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute 'Graduated with CS Degree_1' {'\'(-inf-0]\'','\'(0-inf)\''}

@data
1,0.93,0.99,'\'(-inf-0.8]\'','\'(0-inf)\''
0.6,0.41,0.62,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.14,0,0.77,'\'(0.8-1.6]\'','\'(-inf-0]\''
0.49,0.71,0.78,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.59,0.82,0.89,'\'(0.8-1.6]\'','\'(-inf-0]\''
0.38,0.56,0.77,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.38,0.38,0.7,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.99,0.79,0.97,'\'(-inf-0.8]\'','\'(0-inf)\''
0.51,0.48,0.83,'\'(3.2-inf)\'','\'(-inf-0]\''
0.98,0.85,0.95,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.95,0.68,0.78,'\'(-inf-0.8]\'','\'(0-inf)\''
1,0.75,0.92,'\'(-inf-0.8]\'','\'(0-inf)\''
0.45,0.57,0.8,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.98,0.89,0.93,'\'(-inf-0.8]\'','\'(0-inf)\''
0.6,0.85,0.89,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.58,0.49,0.63,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.6,0.51,0.8,'\'(-inf-0.8]\'','\'(-inf-0]\''
0.8,0.78,0.86,'\'(-inf-0.8]\'','\'(0-inf)\''
1,0.97,1,'\'(-inf-0.8]\'','\'(0-inf)\''
