"Code","Q Avg","Q Min","Q Max","Q % Zeros","Q % below 70%","P Avg","P Min","P Max","P % Zeros","P % below 70%","PRE Avg","PRE Min","PRE Max","PRE % Zeros","PRE % below 70%","L Avg","L Min","L Max","L % Zeros","L % below 70%","R Avg","R Min","R Max","R % Zeros","R % below 70%","OLE Avg","OLE Min","OLE Max","Exam Avg","Exam Min","Exam Max","Male","Female","CS Major","ECE major","Standing","Math Class","415 Final Grade","Q Diff","P Diff","L Diff","R Diff","Took 416","416 Grade","Took 515","515 Grade","Took 520","520 Grade","Graduated with CS Degree","Semester"
389,0.93,0.80,1.00,0.00,0.00,0.95,0.75,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.88,0.00,1.00,0.08,0.17,0.95,0.91,1.00,0.96,0.93,0.99,1.00,0.00,1.00,0.00,0.00,3.00,0.94,0.01,-0.06,0.00,-0.08,1.00,4.00,1.00,4.00,1.00,4.00,1.00,0
35,0.82,0.69,0.91,0.00,0.10,0.95,0.86,1.00,0.00,0.00,0.97,0.75,1.00,0.00,0.00,0.97,0.65,1.00,0.00,0.08,0.96,0.71,1.00,0.00,0.00,0.54,0.42,0.65,0.83,0.81,0.86,1.00,0.00,0.00,1.00,0.00,0.00,0.89,0.05,-0.04,0.05,0.09,0.00,-1.00,1.00,3.67,0.00,-1.00,0.00,0
107,0.57,0.37,0.87,0.00,0.80,0.54,0.00,0.93,0.18,0.45,0.56,0.00,1.00,0.25,0.50,0.60,0.00,1.00,0.23,0.54,1.00,1.00,1.00,0.00,0.00,0.44,0.24,0.60,0.52,0.41,0.62,1.00,0.00,1.00,0.00,0.00,2.00,0.57,-0.16,-0.36,-0.17,0.00,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
205,0.47,0.00,0.81,0.30,0.50,0.24,0.00,0.83,0.64,0.82,0.35,0.00,1.00,0.63,0.63,0.43,0.00,1.00,0.54,0.62,0.44,0.00,1.00,0.50,0.50,0.05,0.00,0.14,0.29,0.00,0.77,1.00,0.00,1.00,0.00,1.00,3.00,0.29,-0.54,-0.45,-0.50,-0.32,1.00,0.67,0.00,-1.00,0.00,-1.00,0.00,0
28,0.58,0.33,0.73,0.00,0.70,0.33,0.00,0.95,0.55,0.73,0.51,0.00,1.00,0.25,0.63,0.46,0.00,1.00,0.46,0.62,0.82,0.00,1.00,0.08,0.25,0.39,0.08,0.69,0.64,0.59,0.68,1.00,0.00,0.00,1.00,0.00,0.00,0.43,0.11,-0.25,-0.24,0.08,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
365,0.78,0.59,0.91,0.00,0.20,0.00,0.00,0.00,1.00,1.00,0.43,0.00,1.00,0.50,0.50,0.50,0.00,1.00,0.46,0.54,0.58,0.00,1.00,0.33,0.42,0.67,0.49,0.88,0.80,0.78,0.83,1.00,0.00,0.00,0.00,1.00,0.00,0.35,0.04,0.00,-0.36,-0.17,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
234,0.70,0.53,0.94,0.00,0.70,0.10,0.00,0.70,0.82,0.91,0.39,0.00,1.00,0.50,0.63,0.51,0.00,1.00,0.46,0.54,0.87,0.00,1.00,0.08,0.17,0.40,0.35,0.49,0.75,0.62,0.83,0.00,1.00,0.00,0.00,0.00,0.00,0.39,0.02,-0.05,0.18,0.07,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
253,0.83,0.77,0.93,0.00,0.00,0.96,0.89,1.00,0.00,0.00,0.82,0.25,1.00,0.00,0.13,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.71,0.64,0.76,0.88,0.82,0.94,1.00,0.00,0.00,1.00,0.00,0.00,0.92,0.02,-0.06,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
312,0.92,0.78,0.97,0.00,0.00,0.96,0.88,1.00,0.00,0.00,0.92,0.50,1.00,0.00,0.13,0.99,0.85,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,1.00,0.96,0.94,0.99,1.00,0.00,0.00,1.00,0.00,0.00,0.96,-0.07,-0.03,0.02,0.00,1.00,4.00,0.00,-1.00,1.00,4.00,1.00,0
351,0.42,0.00,0.77,0.30,0.90,0.40,0.00,1.00,0.55,0.55,0.31,0.00,1.00,0.63,0.75,0.43,0.00,1.00,0.46,0.54,0.37,0.00,1.00,0.58,0.67,0.20,0.00,0.59,0.27,0.00,0.52,1.00,0.00,0.00,0.00,0.00,0.00,0.33,-0.43,-0.73,-0.55,-0.74,0.00,-1.00,0.00,-1.00,0.00,-1.00,0.00,0
